"ЛИЦЕВОЙ","ХВС ВАННА НОМЕР","ХВС ВАННЯ ПОКАЗ","ХВС ТУАЛЕТ НОМЕР","ХВС ТУАЛЕТ ПОКАЗ","ХВС КУХНЯ НОМЕР","ХВС КУХНЯ ПОКАЗ","ПОЛИВ НОМЕР","ПОЛИВ ПОКАЗ","ГВС ВАННА НОМЕР","ГВС ВАННЯ ПОКАЗ","ГВС ТУАЛЕТ НОМЕР","ГВС ТУАЛЕТ ПОКАЗ","ГВС КУХНЯ НОМЕР","ГВС КУХНЯ ПОКАЗ","ОБРАТКА НОМЕР","ОБРАТКА ПОКАЗ"
"1110120010","173361","1908","","0","","0","169503","502","595044","699","","0","","0","","0"
"1110120020","3917","1553","","0","","0","323915","77","244644","11","","0","","0","","0"
"1110130010","121031","1769","","0","","0","б/н","479","121404","267","","0","","0","","0"
"1110130020","236366","801","","0","","0","549247","490","628897","98","","0","","0","","0"
"1110140010","424494","384","","0","","0","600757","391","434326","284","","0","","0","","0"
"1110140020","565","1836","","0","","0","","0","","0","","0","","0","","0"
"1110150010","4028658","2626","","0","","0","3881","269","3336307","661","","0","","0","4157953","331"
"1110150020","393845","1378","","0","","0","173340","338","448508","3752","","0","","0","448547","3277"
"1110160010","744868","38","","0","","0","194745","142","2342483","316","","0","","0","","0"
"1110160020","473175","892","","0","","0","2188","127","581403","140","","0","","0","","0"
"1110170010","139414","1167","","0","","0","26911","556","114266","437","","0","","0","","0"
"1110170020","446670","991","","0","","0","441604","252","441097","169","","0","","0","","0"
"1110180010","71396","806","","0","","0","311947","93","66688","60","","0","","0","","0"
"1110180020","555805","1897","","0","","0","","0","492837","756","","0","","0","","0"
"1110190010","264664","2673","","0","","0","359401","62","190751","487","","0","","0","","0"
"1110190021","610951","1040","","0","","0","125268","280","532533","477","","0","","0","","0"
"1110190022","","1040","","0","","0","","280","","477","","0","","0","","0"
"1110200010","75663","1929","","0","","0","311948","33","57345","1474","","0","","0","","0"
"1110200020","476140","735","","0","","0","477080","165","436225","3542","","0","","0","","0"
"1110210010","263288","821","","0","","0","262932","696","288098","480","","0","","0","","0"
"1110210020","488277","1303","","0","","0","158654","179","480481","434","","0","","0","","0"
"1110220010","522719","1672","","0","","0","4134971","359","470005","480","","0","","0","","0"
"1110220020","00-904230","1361","","0","","0","00-904219","810","01-807733","306","","0","","0","","0"
"1110230010","2204","1265","","0","","0","90307","100","16555","486","","0","","0","","0"
"1110230020","1309071","995","","0","","0","486544","230","1215195","336","","0","","0","","0"
"1110240010","152935","752","","0","","0","158059","776","186424","253","","0","","0","","0"
"1110240020","9088","694","","0","","0","526749","751","524538","730","","0","","0","","0"
"1110250010","26672","1788","","0","","0","385160","1569","16941","526","","0","","0","","0"
"1110260010","32778","644","","0","","0","554653","336","595508","551","","0","","0","","0"
"1110260020","67003","508","","0","","0","5611","610","101563","173","","0","","0","","0"
"1110270010","386585","870","","0","","0","470831","503","415161","573","","0","","0","","0"
"1110270020","3682","1206","","0","","0","3686","410","446415","242","","0","","0","","0"
"1110280010","58458","661","","0","","0","83758","99","62198","116","","0","","0","83393","5"
"1110280020","2256666","1828","","0","","0","482548","173","10105772","60","","0","","0","","0"
"1110290010","70488","1465","","0","","0","69999","184","78614","160","","0","","0","","0"
"1110290020","4027139","2010","","0","","0","4077523","352","4097199","1060","","0","","0","","0"
"1110300010","642318","2158","","0","","0","95286","0","646032","1286","","0","","0","","0"
"1110300020","6581002","2342","","0","","0","","0","8566009","835","","0","","0","","0"
"1110310010","481645","1318","","0","","0","87306","406","500028","4048","","0","","0","507798","4626"
"1110310020","71390","990","","0","","0","71022","247","66707","215","","0","","0","","0"
"1110320010","155386","1728","","0","","0","473978","2","184198","349","","0","","0","","0"
"1110320020","2907289","2038","","0","","0","180123","173","2847304","6554","","0","","0","","0"
"1110330010","45843","1780","","0","","0","25201","310","38636","2523","","0","","0","530468","1978"
"1110330020","71193","1403","","0","","0","71147","276","67150","176","","0","","0","67443","0"
"1110330030","9200098759","26","","0","","0","9200206836","1","67443","72","","0","","0","","0"
"1110340000","140490","2160","","0","","0","140272","327","116080","675","","0","","0","","0"
"1110350000","467827","1529","","0","","0","118828","296","476076","3718","","0","","0","479944","3136"
"1110360000","229522","2049","","0","","0","238541","243","186505","345","","0","200553","231","","0"
"1110370000","8118233","193","","0","","0","34279","126","1314345","52","","0","","0","","0"
"1110380000","","0","","0","","0","","0","","0","","0","","0","","0"
"1110030010","280335","301","","0","","0","","0","51774","104","","0","","0","","0"
"1110030020","8200001517","72","","0","8200005709","61","","0","10168803","290","","0","101716446","88","","0"
"1110030030","1307047","418","","0","481655","86","","0","1213842","165","","0","484018","83","","0"
"1110030040","184454","191","","0","178992","96","","0","184451","166","","0","","0","","0"
"1110030050","220522","247","","0","","0","","0","225520","90","","0","","0","","0"
"1110030060","423531","586","","0","422311","194","","0","365096","311","","0","371907","135","","0"
"1110030070","2057724","978","","0","2055179","220","","0","2062898","293","","0","2063312","253","","0"
"1110030080","216619","731","","0","","0","","0","121185","429","","0","","0","","0"
"1110030090","557142","895","","0","558388","261","","0","557442","428","","0","557794","156","","0"
"1110030100","5040188","1010","","0","5035165","62","","0","5016546","319","","0","5016440","97","","0"
"1110030110","501597","796","","0","","0","","0","542988","640","","0","","0","","0"
"1110030120","444845","367","","0","471965","203","","0","460099","172","","0","460033","133","","0"
"1110030130","295839","731","","0","293817","237","","0","353545","161","","0","342113","38","","0"
"1110030140","366316","493","","0","366415","249","","0","3551","216","","0","8093","1","","0"
"1110030150","216638","677","","0","216989","204","","0","212663","303","","0","214901","165","","0"
"1110030160","300616","176","","0","303081","35","","0","291134","4","","0","269188","36","","0"
"1110030170","","0","","0","21147","143","","0","","0","","0","87784","121","","0"
"1110030180","575625","680","","0","511643","61","","0","551891","210","","0","465534","144","","0"
"1110030190","6298051","653","","0","6278338","210","","0","6012457","280","","0","6012321","185","","0"
"1110030200","101737871","1018","","0","","0","","0","101740520","204","","0","","0","","0"
"1110030210","112008","282","","0","112050","97","","0","88768","152","","0","87514","154","","0"
"1110030220","201720","706","","0","213920","182","","0","238677","210","","0","238333","136","","0"
"1110030230","121603","83","","0","","0","","0","123185","22","","0","","0","","0"
"1110030240","742925","47","","0","722464","24","","0","748692","48","","0","669415","27","","0"
"1110030250","912022","545","","0","910362","143","","0","51453","1","","0","51487","43","","0"
"1110030260","8426534","123","","0","134102","44","","0","8034854","4","","0","7975765","2","","0"
